,airport_id,airport_code,city,state,median_d_delay,median_a_delay,dep_flight_count,arr_flight_count,std_d_delay,std_a_delay
140,11953,GNV,Gainesville, FL,-2.0,-5.5,91,79,38.22,37.31
141,11973,GPT,Gulfport/Biloxi, MS,-5.0,-5.5,60,76,13.21,17.75
142,11977,GRB,Green Bay, WI,-5.0,-6.0,80,101,17.04,23.11
143,11980,GRI,Grand Island, NE,0.0,-9.5,19,11,93.89,96.72
144,11982,GRK,Killeen, TX,-5.5,-3.0,53,46,10.14,17.32
145,11986,GRR,Grand Rapids, MI,-4.0,-5.0,317,345,42.31,43.93
146,11995,GSO,Greensboro/High Point, NC,-5.0,-5.0,279,288,64.42,67.51
147,11996,GSP,Greer, SC,-4.0,-7.0,267,275,92.83,93.23
148,11997,GST,Gustavus, AK,48.0,-8.0,1,2,,
149,12003,GTF,Great Falls, MT,-6.0,-6.5,37,48,22.47,27.24
150,12007,GTR,Columbus, MS,-4.0,-14.0,21,20,25.92,25.66
151,12012,GUC,Gunnison, CO,-3.0,-6.0,11,9,52.22,60.07
152,12016,GUM,Guam, TT,-2.0,-5.5,15,18,9.44,15.0
153,12094,HDN,Hayden, CO,-7.0,-7.5,39,24,65.96,66.8
154,12119,HGR,Hagerstown, MD,6.0,100.5,2,2,8.49,1.41
155,12124,HHH,Hilton Head, SC,-4.0,-5.0,18,27,37.78,51.08
156,12129,HIB,Hibbing, MN,-3.0,-17.0,11,14,4.11,8.86
157,12156,HLN,Helena, MT,-4.0,-7.0,29,48,30.51,39.13
158,12173,HNL,Honolulu, HI,-4.0,-4.0,835,891,28.5,31.03
159,12177,HOB,Hobbs, NM,-4.0,-9.0,7,16,31.98,30.4
160,12191,HOU,Houston, TX,2.0,-4.0,934,939,38.78,39.3
161,12197,HPN,White Plains, NY,-2.5,-6.0,192,191,44.9,48.77
162,12206,HRL,Harlingen/San Benito, TX,-4.0,-8.0,62,55,31.73,32.99
163,12217,HSV,Huntsville, AL,-6.0,-8.0,178,147,29.31,31.11
164,12223,HTS,Ashland, WV,-3.5,2.0,28,19,37.1,37.62
165,12244,HVN,New Haven, CT,-8.0,-2.0,19,12,17.54,34.12
166,12255,HYS,Hays, KS,-12.0,-7.5,19,23,26.34,29.65
167,12264,IAD,Washington, DC,-3.0,-7.0,1488,1516,49.12,51.55
168,12265,IAG,Niagara Falls, NY,0.0,-8.0,12,14,39.6,37.76
169,12266,IAH,Houston, TX,-3.0,-6.0,2796,2904,44.34,46.27
170,12278,ICT,Wichita, KS,-5.0,-5.0,174,183,112.36,113.23
171,12280,IDA,Idaho Falls, ID,-5.0,-10.0,47,47,29.76,31.04
172,12323,ILM,Wilmington, NC,-4.0,-3.5,159,143,41.57,45.46
173,12335,IMT,Iron Mountain/Kingsfd, MI,-4.0,-13.0,12,16,11.44,19.97
174,12339,IND,Indianapolis, IN,-3.0,-5.0,829,811,67.25,70.01
175,12343,INL,International Falls, MN,-12.5,-20.0,6,10,5.43,14.77
176,12365,IPT,Williamsport, PA,-8.0,-10.0,12,14,36.84,35.79
177,12389,ISN,Williston, ND,-5.0,0.0,29,29,47.5,57.94
178,12391,ISP,Islip, NY,-1.0,-4.0,122,98,29.47,32.76
179,12397,ITH,Ithaca/Cortland, NY,-5.0,-5.0,50,37,136.68,140.6
180,12402,ITO,Hilo, HI,-5.0,-4.0,95,97,13.05,14.06
181,12441,JAC,Jackson, WY,-5.0,-8.0,71,76,19.68,25.86
182,12448,JAN,Jackson/Vicksburg, MS,-4.0,-6.0,143,126,116.24,117.55
183,12451,JAX,Jacksonville, FL,-3.0,-6.0,521,550,65.22,66.29
184,12478,JFK,New York, NY,-3.0,-7.0,2082,2091,51.02,55.23
185,12492,JHM,Kapalua, HI,-9.0,-8.0,22,20,6.81,7.36
186,12511,JLN,Joplin, MO,-3.0,-5.0,23,19,51.26,56.03
187,12519,JMS,Jamestown, ND,4.0,-16.0,16,16,108.21,101.57
188,12523,JNU,Juneau, AK,-10.0,-9.5,55,70,7.24,14.86
189,12544,USA,Concord, NC,-3.0,-1.0,25,25,28.74,32.46
190,12758,KOA,Kona, HI,-5.0,-7.0,225,245,30.53,31.13
191,12819,KTN,Ketchikan, AK,-5.5,-8.0,43,34,23.99,22.72
192,12884,LAN,Lansing, MI,-3.5,-7.5,69,58,57.06,57.7
193,12888,LAR,Laramie, WY,-9.0,-6.0,6,13,5.68,33.78
194,12889,LAS,Las Vegas, NV,-1.0,-5.0,2638,2637,34.89,36.7
195,12891,LAW,Lawton/Fort Sill, OK,-7.5,-5.0,26,25,21.19,20.94
196,12892,LAX,Los Angeles, CA,-2.0,-7.0,3942,4004,38.7,40.64
197,12896,LBB,Lubbock, TX,-4.0,-5.5,113,91,34.52,37.65
198,12898,LBE,Latrobe, PA,-6.0,-3.5,17,12,71.0,68.27
199,12899,LBF,North Platte, NE,-7.5,-10.5,12,12,21.86,24.5
200,12902,LBL,Liberal, KS,-8.0,0.5,13,14,93.71,103.38
201,12915,LCH,Lake Charles, LA,-7.0,-3.0,33,19,8.96,12.49
202,12917,LCK,Columbus, OH,-8.0,-5.5,17,16,17.31,24.77
203,12945,LEX,Lexington, KY,-4.0,-6.0,219,189,34.58,41.01
204,12951,LFT,Lafayette, LA,-4.0,-7.5,73,80,37.99,41.52
205,12953,LGA,New York, NY,-3.0,-7.0,2736,2711,61.2,64.27
206,12954,LGB,Long Beach, CA,-3.0,-5.0,276,277,63.46,63.95
207,12982,LIH,Lihue, HI,-5.0,-4.0,211,205,19.03,21.51
208,12992,LIT,Little Rock, AR,-4.0,-5.0,234,247,33.21,36.91
209,13029,LNK,Lincoln, NE,-3.0,-3.0,34,58,85.59,83.91
210,13034,LNY,Lanai, HI,-6.5,-4.0,25,21,37.85,38.2
211,13061,LRD,Laredo, TX,-6.5,-8.0,39,40,50.53,50.99
212,13076,LSE,La Crosse, WI,-3.0,-2.5,33,26,19.13,22.36
213,13121,LWB,Lewisburg, WV,14.0,8.0,6,13,44.13,47.04
214,13127,LWS,Lewiston, ID,-6.0,-12.5,19,26,29.35,30.84
215,13139,LYH,Lynchburg, VA,-8.0,-2.0,32,35,21.17,28.3
216,13158,MAF,Midland/Odessa, TX,-4.0,-7.0,150,145,46.68,46.96
217,13184,MBS,Saginaw/Bay City/Midland, MI,-5.0,-12.0,49,45,24.89,29.41
218,13198,MCI,Kansas City, MO,-2.0,-6.0,939,926,28.47,32.42
219,13204,MCO,Orlando, FL,-1.0,-5.0,2165,2295,45.08,47.13
220,13230,MDT,Harrisburg, PA,-4.0,-8.0,159,189,42.36,44.88
221,13232,MDW,Chicago, IL,3.0,-6.0,1368,1323,32.48,34.6
222,13241,MEI,Meridian, MS,-3.0,-3.0,14,23,121.17,143.36
223,13244,MEM,Memphis, TN,-4.0,-5.0,430,468,44.74,47.31
224,13256,MFE,Mission/McAllen/Edinburg, TX,-5.0,-3.0,71,85,48.31,49.02
225,13264,MFR,Medford, OR,-4.0,-5.5,147,132,59.62,61.98
226,13277,MGM,Montgomery, AL,-2.0,-8.0,61,71,28.9,31.27
227,13290,MHK,Manhattan/Ft. Riley, KS,-4.5,-5.0,37,32,38.92,44.82
228,13296,MHT,Manchester, NH,-5.0,-9.0,169,158,24.86,29.68
229,13303,MIA,Miami, FL,-2.0,-8.0,1416,1379,59.78,61.21
230,13342,MKE,Milwaukee, WI,-2.0,-7.0,586,526,43.42,47.28
231,13344,MKG,Muskegon, MI,-10.0,3.0,12,11,20.55,26.57
232,13347,MKK,Hoolehua, HI,9.0,-2.5,24,18,41.27,42.57
233,13360,MLB,Melbourne, FL,-5.0,-4.0,50,37,7.45,12.07
234,13367,MLI,Moline, IL,-4.0,-6.0,108,96,28.51,31.06
235,13377,MLU,Monroe, LA,-4.0,-6.0,56,41,36.11,36.68
236,13388,MMH,Mammoth Lakes, CA,1.0,-6.0,6,9,19.53,15.16
237,13422,MOB,Mobile, AL,-4.0,-5.0,124,96,49.67,51.55
238,13433,MOT,Minot, ND,-5.0,-6.5,50,43,80.18,80.14
239,13459,MQT,Marquette, MI,-1.5,-4.5,22,28,62.89,59.25
240,13476,MRY,Monterey, CA,-5.0,-6.0,85,70,32.48,34.35
241,13485,MSN,Madison, WI,-4.0,-4.0,249,261,40.36,43.67
242,13486,MSO,Missoula, MT,-3.0,-5.0,93,89,31.02,33.27
243,13487,MSP,Minneapolis, MN,-2.0,-9.0,2705,2594,41.92,46.01
244,13495,MSY,New Orleans, LA,-2.0,-6.0,854,922,35.06,37.77
245,13502,MTJ,Montrose/Delta, CO,-7.0,-2.0,35,55,145.1,147.0
246,13541,MVY,Martha's Vineyard, MA,0.5,-7.5,15,10,34.06,35.79
247,13577,MYR,Myrtle Beach, SC,-4.0,-4.0,198,226,32.12,33.96
248,13795,OAJ,Jacksonville/Camp Lejeune, NC,-4.0,-3.0,56,63,47.31,50.63
249,13796,OAK,Oakland, CA,0.0,-5.0,834,879,26.34,28.9
250,13829,OGD,Ogden, UT,10.0,-6.0,1,3,,
251,13830,OGG,Kahului, HI,-3.0,-4.0,434,399,113.95,116.35
252,13832,OGS,Ogdensburg, NY,-5.0,-11.0,7,5,18.83,19.52
253,13851,OKC,Oklahoma City, OK,-4.0,-5.0,409,413,35.26,34.73
254,13871,OMA,Omaha, NE,-3.0,-6.0,448,416,46.79,47.91
255,13873,OME,Nome, AK,-11.0,-17.0,11,12,7.04,8.53
256,13891,ONT,Ontario, CA,-2.0,-6.0,397,347,27.99,29.89
257,13930,ORD,Chicago, IL,-2.0,-7.0,6341,6396,45.81,49.03
258,13931,ORF,Norfolk, VA,-3.0,-6.0,449,446,61.18,63.24
259,13933,ORH,Worcester, MA,-4.5,19.0,27,21,34.11,33.88
260,13964,OTH,North Bend/Coos Bay, OR,15.5,-17.0,4,5,88.18,82.11
261,13970,OTZ,Kotzebue, AK,-9.0,-8.5,15,7,35.3,42.21
262,14004,PAE,Everett, WA,-5.0,-11.0,55,55,18.17,20.38
263,14006,PAH,Paducah, KY,-7.5,-10.0,19,15,46.05,45.57
264,14025,PBG,Plattsburgh, NY,-5.0,-8.0,19,13,93.13,99.19
265,14027,PBI,West Palm Beach/Palm Beach, FL,-3.0,-6.0,412,404,43.48,45.29
266,14057,PDX,Portland, OR,-3.0,-6.0,1366,1433,35.54,36.86
267,14082,PGD,Punta Gorda, FL,-4.0,-5.0,88,94,24.53,25.79
268,14092,PGV,Greenville, NC,-3.5,-6.0,25,20,74.56,73.16
269,14098,PHF,Newport News/Williamsburg, VA,-3.0,-4.0,63,61,38.81,37.24
270,14100,PHL,Philadelphia, PA,-3.0,-8.0,2493,2510,40.05,43.98
271,14107,PHX,Phoenix, AZ,-1.0,-5.0,2884,2985,36.56,38.67
272,14108,PIA,Peoria, IL,-5.0,-4.0,94,83,34.36,38.68
273,14109,PIB,Hattiesburg/Laurel, MS,-9.0,-7.5,10,10,8.73,11.75
274,14112,PIE,St. Petersburg, FL,-5.0,-9.0,130,130,31.06,32.13
275,14113,PIH,Pocatello, ID,-7.0,-11.5,25,20,23.68,27.89
276,14120,PIR,Pierre, SD,-6.0,12.5,11,4,27.71,32.69
277,14122,PIT,Pittsburgh, PA,-3.0,-6.0,824,785,53.16,56.6
278,14150,PLN,Pellston, MI,-6.5,-5.0,24,25,9.88,15.68
279,14193,PNS,Pensacola, FL,-4.0,-5.0,200,210,44.81,45.91
280,14222,PPG,Pago Pago, TT,21.0,-17.0,2,2,41.01,41.72
281,14231,PQI,Presque Isle/Houlton, ME,44.0,7.0,5,12,32.52,16.27
282,14237,PRC,Prescott, AZ,18.0,-17.0,7,6,124.38,124.0
283,14252,PSC,Pasco/Kennewick/Richland, WA,-5.0,-7.0,108,125,36.63,38.72
284,14254,PSE,Ponce, PR,-5.0,15.0,14,9,70.53,70.94
285,14256,PSG,Petersburg, AK,-3.0,-15.0,15,8,43.21,43.55
286,14259,PSM,Portsmouth, NH,7.0,-8.0,3,6,8.54,15.72
287,14262,PSP,Palm Springs, CA,-5.5,-6.0,181,174,27.72,28.34
288,14288,PUB,Pueblo, CO,-10.5,-15.0,14,17,30.77,42.01
289,14303,PUW,Pullman, WA,-2.0,-8.0,16,17,29.84,30.91
290,14307,PVD,Providence, RI,-3.0,-6.0,342,298,44.17,45.7
291,14314,PVU,Provo, UT,2.0,1.0,10,7,71.0,71.27
292,14321,PWM,Portland, ME,-3.0,-6.0,262,257,45.97,47.07
293,14457,RAP,Rapid City, SD,-3.0,-8.0,97,87,109.25,112.29
294,14487,RDD,Redding, CA,-3.0,-15.0,21,11,70.44,67.83
295,14489,RDM,Bend/Redmond, OR,-4.0,-2.0,149,133,87.84,88.92
296,14492,RDU,Raleigh/Durham, NC,-2.0,-5.0,1154,1147,53.97,56.47
297,14512,RFD,Rockford, IL,4.5,-10.0,6,8,20.88,29.49
298,14520,RHI,Rhinelander, WI,-8.0,-14.0,8,8,35.68,46.0
299,14524,RIC,Richmond, VA,-3.5,-5.0,474,448,71.16,74.52
300,14543,RKS,Rock Springs, WY,-7.5,6.0,6,8,52.26,64.14
301,14570,RNO,Reno, NV,-3.0,-5.0,343,349,58.6,60.0
302,14574,ROA,Roanoke, VA,-6.0,-3.0,117,125,39.69,38.78
303,14576,ROC,Rochester, NY,-5.0,-7.0,294,321,45.96,48.93
304,14588,ROW,Roswell, NM,-9.0,-9.0,31,20,52.52,51.55
