,airport_id,airport_code,city,state,median_d_delay,median_a_delay,dep_flight_count,arr_flight_count,std_d_delay,std_a_delay
23,10408,ATW,Appleton, WI,-5.0,-8.0,115,111,38.91,41.69
24,10409,ATY,Watertown, SD,-9.0,-14.0,3,6,3.51,7.37
25,10423,AUS,Austin, TX,-2.0,-5.0,1021,1056,42.95,45.67
26,10431,AVL,Asheville, NC,-5.0,-3.0,153,148,176.54,177.83
27,10434,AVP,Scranton/Wilkes-Barre, PA,-7.0,-4.0,86,81,53.27,56.19
28,10466,AZA,Phoenix, AZ,-2.0,-0.5,79,94,36.71,38.48
29,10469,AZO,Kalamazoo, MI,-7.0,-8.0,71,68,51.46,52.62
30,10529,BDL,Hartford, CT,-3.0,-5.0,477,512,31.56,33.49
31,10551,BET,Bethel, AK,-10.0,-9.0,17,11,15.85,17.84
32,10558,BFF,Scottsbluff, NE,-9.0,-15.0,9,8,5.12,11.36
33,10561,BFL,Bakersfield, CA,-5.5,-3.5,31,42,30.16,33.8
34,10562,BFM,Mobile, AL,-7.0,-0.5,3,4,7.0,14.19
35,10577,BGM,Binghamton, NY,-8.0,-8.5,18,8,27.21,29.75
36,10581,BGR,Bangor, ME,-4.5,-4.0,85,82,39.66,45.02
37,10590,IFP,Bullhead City, AZ,1.0,-18.0,1,1,,
38,10599,BHM,Birmingham, AL,-3.0,-3.0,311,343,47.29,48.05
39,10620,BIL,Billings, MT,-5.0,-10.0,80,90,33.18,35.75
40,10627,BIS,Bismarck/Mandan, ND,-5.0,-7.5,91,89,40.57,45.12
41,10631,BJI,Bemidji, MN,-8.0,-9.5,13,12,89.54,87.59
42,10643,BKG,Branson, MO,-12.5,41.5,4,2,2.16,4.99
43,10666,BLI,Bellingham, WA,-4.0,-8.0,61,55,14.4,21.37
44,10676,BLV,Belleville, IL,1.5,-4.0,22,21,24.79,25.82
45,10685,BMI,Bloomington/Normal, IL,-7.0,-8.0,39,58,33.01,35.33
46,10693,BNA,Nashville, TN,-1.0,-5.0,1250,1341,51.26,52.96
47,10713,BOI,Boise, ID,-4.0,-6.0,404,389,36.6,38.25
48,10721,BOS,Boston, MA,-2.0,-6.0,2476,2423,51.72,54.78
49,10728,BPT,Beaumont/Port Arthur, TX,-5.0,1.5,18,10,15.93,17.13
50,10731,BQK,Brunswick, GA,-3.0,-7.5,12,16,11.69,20.38
51,10732,BQN,Aguadilla, PR,0.0,-5.0,37,31,53.06,56.34
52,10739,BRD,Brainerd, MN,-3.0,-6.0,9,13,42.98,43.31
53,10747,BRO,Brownsville, TX,-7.0,-9.5,45,49,41.26,42.94
54,10754,BRW,Barrow, AK,-7.5,-17.5,9,12,15.04,15.36
55,10779,BTM,Butte, MT,-6.5,-1.5,22,9,5.66,14.56
56,10781,BTR,Baton Rouge, LA,-5.0,-6.0,105,129,42.19,51.22
57,10785,BTV,Burlington, VT,-4.0,-7.5,190,181,70.88,72.42
58,10792,BUF,Buffalo, NY,-3.0,-6.0,469,433,43.65,46.61
59,10800,BUR,Burbank, CA,-1.0,-4.0,459,457,52.0,53.01
60,10821,BWI,Baltimore, MD,0.0,-6.0,1673,1618,38.24,41.04
61,10849,BZN,Bozeman, MT,-5.0,-7.0,139,120,46.4,49.1
62,10868,CAE,Columbia, SC,-4.0,-5.0,178,176,38.49,39.94
