airport_id,airport_code,city,state,mean_d_delay,mean_arr_delay,dep_flight_count,arr_flight_count,dep_late_count,arr_late_count,dep_late_perc,arr_late_perc,dep_taxi,arr_taxi
11076,CMX,Hancock/Houghton, MI,-2.22,0.67,9,12,2,4,0.222,0.333,15.333333333333334,4.583333333333333
12016,GUM,Guam, TT,-1.67,2.67,15,18,4,8,0.267,0.444,14.266666666666667,3.8333333333333335
12898,LBE,Latrobe, PA,17.82,31.0,17,12,5,5,0.294,0.417,12.470588235294118,6.166666666666667
12124,HHH,Hilton Head, SC,12.31,-1.6,16,25,5,9,0.312,0.36,21.375,7.56
11905,GGG,Longview, TX,-0.08,-4.57,13,14,3,5,0.231,0.357,10.384615384615385,4.357142857142857
12012,GUC,Gunnison, CO,26.0,0.89,11,9,5,3,0.455,0.333,14.454545454545455,3.0
12129,HIB,Hibbing, MN,-4.55,-11.38,11,13,0,1,0.0,0.077,16.181818181818183,3.5384615384615383
10409,ATY,Watertown, SD,-8.67,-15.5,3,6,0,0,0.0,0.0,13.666666666666666,4.666666666666667
12343,INL,International Falls, MN,-12.33,-19.7,6,10,0,0,0.0,0.0,17.166666666666668,4.4
10154,ACK,Nantucket, MA,9.43,-11.6,21,25,7,5,0.333,0.2,19.285714285714285,5.44
13241,MEI,Meridian, MS,13.75,11.26,12,23,3,8,0.25,0.348,11.583333333333334,5.0
10275,ALW,Walla Walla, WA,-2.0,-2.28,8,18,2,6,0.25,0.333,7.125,3.8333333333333335
12519,JMS,Jamestown, ND,19.43,-14.6,14,15,7,1,0.5,0.067,19.142857142857142,4.8
10165,ADK,Adak Island, AK,16.33,-12.5,3,2,2,0,0.667,0.0,8.333333333333334,5.0
10361,ART,Watertown, NY,8.0,-2.29,9,7,1,2,0.111,0.286,11.333333333333334,5.571428571428571
10643,BKG,Branson, MO,-12.0,41.5,4,2,0,2,0.0,1.0,8.75,9.0
14237,PRC,Prescott, AZ,59.14,-16.5,7,6,5,0,0.714,0.0,20.428571428571427,3.3333333333333335
11865,GCC,Gillette, WY,-12.0,-5.27,5,11,1,3,0.2,0.273,17.6,5.7272727272727275
10333,APN,Alpena, MI,6.9,-11.46,10,13,1,3,0.1,0.231,15.1,5.3076923076923075
10551,BET,Bethel, AK,-6.59,-5.11,17,9,4,1,0.235,0.111,7.647058823529412,3.4444444444444446
15897,WYS,West Yellowstone, MT,-4.67,-2.75,6,4,2,1,0.333,0.25,15.166666666666666,4.0
12119,HGR,Hagerstown, MD,6.0,100.5,2,2,2,2,1.0,1.0,10.5,6.5
14905,SMX,Santa Maria, CA,8.0,-5.0,3,2,2,1,0.667,0.5,9.666666666666666,6.5
13541,MVY,Martha's Vineyard, MA,15.14,-7.38,14,8,8,1,0.571,0.125,19.357142857142858,4.5
14222,PPG,Pago Pago, TT,21.0,-17.0,2,2,1,0,0.5,0.0,21.0,12.5
10562,BFM,Mobile, AL,-10.0,-0.5,3,4,2,2,0.667,0.5,11.666666666666666,10.25
11336,DLG,Dillingham, AK,-15.33,-17.0,3,1,1,0,0.333,0.0,12.0,6.0
10590,IFP,Bullhead City, AZ,1.0,-18.0,1,1,1,0,1.0,0.0,29.0,3.0
13829,OGD,Ogden, UT,10.0,-4.67,1,3,1,0,1.0,0.0,18.0,5.333333333333333
11997,GST,Gustavus, AK,48.0,-8.0,1,2,1,0,1.0,0.0,8.0,5.0
