,day,weekday_arr,weekday_dep,weekday_taxi,weekday_percent_late,weekday_reduced_delay
0,0,13.086150490730644,14.464957291218584,26.826750241968934,46.2024052713226,62.297448815027565
1,1,11.531484063422068,12.668137000518941,26.736209553158705,44.38085665185953,61.58198501994099
2,2,11.171963894097829,12.287894686635505,26.85041885898679,44.39977115977498,61.346661157550145
3,3,12.961659600242278,14.107205064901626,26.95151542690962,47.11841308298001,61.37189582071472
4,4,12.444960014323227,13.895928479746873,26.689809563608144,47.06075435664837,62.34333969921222
5,5,9.692946220560309,11.80558873636595,25.563323737344064,42.197380528201414,64.98169502143737
6,6,12.009347311025284,13.680138942994416,26.29331082506858,45.07805653824933,63.848950050306705
